"","SAMPLE_ID","CLAY","SILT","SAND","SOC","CaCO3","N","P","K","CEC","GPS_PROJ","GPS_LAT","GPS_LONG","LC1","LC2","LU1","LU2","MINERAL","COUNTRY"
"94","15945",18,44,39,27.9,2,1.8,0,50.3,10.8,"WGS84",50.23496,16.78042,"C30","8","U364","8","mineral","POLAND"
"95","15946",18,55,27,51.1,2,4.8,10.3,80.9,10.2,"WGS84",50.21066,16.57989,"E20","8","U111","8","mineral","POLAND"
"96","15947",25,64,11,52.2,1,4.3,53,592.8,26.3,"WGS84",50.27903,16.64575,"C10","8","U400","8","mineral","POLAND"
"97","15948",23,41,37,25.3,1,2.2,39.5,360.5,14.6,"WGS84",50.41868,16.41106,"B54","8","U111","8","mineral","POLAND"
"98","15949",11,25,63,39.2,0,2.8,65.8,43.9,8.3,"WGS84",50.46227,16.27553,"C30","8","U364","8","mineral","POLAND"
"99","15950",2,17,82,133.7,0,6,0,62.3,12.4,"WGS84",50.45452,16.41589,"C20","8","U364","8","organic","POLAND"
"100","15951",21,70,9,14.3,1,1.4,0,199.4,14.1,"WGS84",50.34735,16.7119,"E30","8","U400","8","mineral","POLAND"
"101","15952",13,62,25,18.9,0,2,14.6,114.8,6.7,"WGS84",50.36026,16.79842,"E20","8","U111","8","mineral","POLAND"
"102","15953",18,45,36,9,1,0.9,55.2,231,4.3,"WGS84",50.50592,17.07451,"B32","8","U111","8","mineral","POLAND"
"103","15954",14,36,50,13.5,1,1.2,29.5,199.2,11.7,"WGS84",50.65644,16.67089,"B11","8","U111","8","mineral","POLAND"
"104","15955",16,56,29,27.9,1,2.2,13.4,208.3,29,"WGS84",50.63359,16.75288,"E20","8","U400","8","mineral","POLAND"
"105","15956",20,66,14,14.1,4,1.3,42,173,5.2,"WGS84",50.81515,17.0359,"B11","8","U111","8","mineral","POLAND"
"106","15957",5,7,88,6.3,0,0.6,36,52.7,10.2,"WGS84",50.96054,17.8599,"B18","8","U111","8","mineral","POLAND"
"107","15958",4,8,88,113.6,2,3.2,17.8,45.1,5.6,"WGS84",50.8872,17.876,"C20","8","U120","8","mineral","POLAND"
"108","15959",3,7,90,20.3,1,0.9,47.8,18.6,9.2,"WGS84",50.96675,18.0329,"C30","8","U120","8","mineral","POLAND"
"109","15960",7,10,82,55.9,1,2.6,16.2,46.9,5,"WGS84",50.89723,17.99236,"C20","8","U120","8","mineral","POLAND"
"110","15961",4,8,87,10.1,1,0.9,98.6,57.1,7.4,"WGS84",50.94842,17.77192,"E30","8","U112","8","mineral","POLAND"
"111","15962",4,25,71,9.6,0,1.1,129.9,87.6,25.6,"WGS84",51.04789,17.90353,"B15","8","U111","8","mineral","POLAND"
"112","15963",8,52,40,14.6,1,1.1,66,150.8,4.7,"WGS84",51.09167,18.05473,"B11","8","U111","8","mineral","POLAND"
"113","15964",8,49,43,13,1,1.2,28.6,127.9,4.7,"WGS84",51.15255,17.69132,"B11","8","U111","8","mineral","POLAND"
"114","15965",6,35,59,11.9,0,1.2,58.1,112.9,5.3,"WGS84",50.95292,17.71324,"B16","8","U111","8","mineral","POLAND"
"115","15966",6,22,72,9.2,0,1.1,47.6,141,5.4,"WGS84",51.01523,17.58233,"B11","8","U111","8","mineral","POLAND"
"116","15967",3,8,89,9.3,0,0.4,0,20.3,4.7,"WGS84",50.98141,17.54819,"C30","8","U120","8","mineral","POLAND"
"117","15968",8,22,71,8.3,0,0.8,40.5,104.4,7.4,"WGS84",50.87598,17.50241,"B11","8","U111","8","mineral","POLAND"
"118","15969",17,69,14,12,0,1.4,46.8,160.8,9.7,"WGS84",50.83194,16.43939,"B32","8","U111","8","mineral","POLAND"
"119","15970",16,66,19,12.6,1,1.1,56.9,197.5,7.4,"WGS84",50.83512,16.3828,"B11","8","U111","8","mineral","POLAND"
"120","15971",12,44,44,12.1,1,1.3,64.9,162.9,7.7,"WGS84",50.91905,16.16584,"B14","8","U111","8","mineral","POLAND"
"121","15972",21,51,28,44.7,0,3.8,17.7,92.6,19.1,"WGS84",50.92208,16.10918,"E20","8","U400","8","mineral","POLAND"
"122","15973",9,41,50,11.4,1,1.2,69.8,155.8,6.1,"WGS84",51.11663,16.8235,"B32","8","U111","8","mineral","POLAND"
"123","15974",28,25,47,24.1,0,2.1,0,82.7,17,"WGS84",51.02101,17.21063,"C10","8","U400","8","mineral","POLAND"
"124","15975",14,65,21,10.9,1,1.1,63,198.8,10.6,"WGS84",50.9818,16.66055,"B11","8","U111","8","mineral","POLAND"
"125","15977",9,51,40,22.4,1,1.8,46.2,378.7,9.5,"WGS84",50.80508,16.57908,"B16","8","U111","8","mineral","POLAND"
"126","15978",18,66,15,71,123,6.9,18.3,59.1,50.3,"WGS84",50.79465,16.77618,"E20","8","U111","8","mineral","POLAND"
"127","15979",18,55,27,15.3,1,1.1,37.8,121.9,13.3,"WGS84",50.90195,16.79187,"B16","8","U111","8","mineral","POLAND"
"128","15980",33,53,14,25.1,0,2.5,96.7,145.2,25.8,"WGS84",50.97184,16.83075,"B11","8","U111","8","mineral","POLAND"
"129","15981",9,62,29,10.9,2,1.3,43.6,202.3,9.7,"WGS84",51.10539,16.70709,"B32","8","U111","8","mineral","POLAND"
"130","15982",29,66,5,20.3,18,2.1,90.4,395,26.2,"WGS84",51.04501,16.5287,"B22","8","U111","8","mineral","POLAND"
"131","15983",11,39,50,8.1,2,0.9,66.3,235.8,5.3,"WGS84",51.04134,16.23941,"B32","8","U111","8","mineral","POLAND"
"132","15984",15,67,18,10.5,1,1.3,17.1,73,8.1,"WGS84",51.06874,16.07092,"B18","8","U111","8","mineral","POLAND"
"133","15985",13,61,26,9.3,1,1.3,13.1,70,12.1,"WGS84",51.15321,15.82458,"B11","8","U111","8","mineral","POLAND"
"134","15986",19,76,5,10.5,1,1.1,29.9,173.6,11.3,"WGS84",51.11294,16.24909,"B22","8","U111","8","mineral","POLAND"
"135","15987",19,74,7,12.5,1,1.4,57.5,172.5,15.5,"WGS84",51.05813,16.27018,"B22","8","U111","8","mineral","POLAND"
"136","15988",3,5,92,36.8,1,1.8,17.3,22.1,6,"WGS84",51.09586,17.4519,"C30","8","U120","8","mineral","POLAND"
"137","15989",8,30,63,10.5,3,1,31.3,139.5,6.5,"WGS84",51.06882,17.5912,"B13","8","U111","8","mineral","POLAND"
"138","15990",15,27,57,41.3,1,3.3,36.4,61,21,"WGS84",51.07911,17.70774,"C10","8","U400","8","mineral","POLAND"
"139","15991",11,59,30,11.8,1,1.3,62.9,329.5,8,"WGS84",51.17666,17.60687,"B11","8","U111","8","mineral","POLAND"
"140","15992",5,20,75,5.8,0,0.6,22.2,50.5,4.6,"WGS84",51.13427,17.42962,"B14","8","U111","8","mineral","POLAND"
"141","15993",18,69,13,13.1,0,1.4,53,216.3,14.9,"WGS84",51.18159,16.31645,"B11","8","U111","8","mineral","POLAND"
"142","15994",16,16,68,7.1,2,0.6,37.4,199.9,13.4,"WGS84",51.24438,16.15199,"E20","8","U111","8","mineral","POLAND"
"143","15995",11,46,43,13,1,1.4,31.1,117.6,5.5,"WGS84",51.04572,15.43858,"B21","8","U111","8","mineral","POLAND"
"144","15996",14,56,31,19.2,2,1.8,30.7,178.5,11.2,"WGS84",51.11375,15.13151,"B32","8","U111","8","mineral","POLAND"
"145","15997",10,46,45,13.3,1,1.2,49.7,100.1,3.9,"WGS84",51.20669,15.08292,"B14","8","U111","8","mineral","POLAND"
"146","15998",13,54,32,43.3,1,3.5,18.2,72.4,8.6,"WGS84",51.22129,15.14349,"E20","8","U400","8","mineral","POLAND"
"147","15999",11,60,30,9.5,1,1,29.2,110.4,7.1,"WGS84",51.15182,15.47977,"B21","8","U111","8","mineral","POLAND"
"148","16000",4,18,78,48.7,1,2,0,42,7.1,"WGS84",51.29169,15.18006,"C30","8","U364","8","mineral","POLAND"
"149","16002",10,47,43,9,1,1,43.6,133.2,3.7,"WGS84",51.14292,16.36811,"B13","8","U111","8","mineral","POLAND"
"150","16003",5,9,86,13.2,0,1,126.6,52.8,2.8,"WGS84",51.16523,16.91692,"E10","8","U400","8","mineral","POLAND"
"151","16004",9,53,38,9.7,0,1,66.7,171,3.5,"WGS84",51.23208,16.03605,"B14","8","U111","8","mineral","POLAND"
"152","16005",3,5,92,5.9,0,0.3,0,30.1,0,"WGS84",51.41718,15.1943,"C20","8","U120","8","mineral","POLAND"
"153","16006",2,2,95,14.7,0,0.8,53.9,289.3,0,"WGS84",51.39408,15.30703,"C20","8","U120","8","mineral","POLAND"
"154","16007",3,8,88,7.2,0,0.4,26.5,39.1,2.4,"WGS84",51.51805,14.9458,"C20","8","U120","8","mineral","POLAND"
"155","16008",8,19,72,19.3,0,1.5,23.6,61,7.6,"WGS84",51.58976,14.95363,"C10","8","U400","8","mineral","POLAND"
"156","16010",17,59,24,3.3,0,0.3,0,51.5,5.7,"WGS84",51.57784,14.80764,"C30","8","U400","8","mineral","POLAND"
"157","16011",4,23,73,11.2,0,0.4,0,24.1,5.4,"WGS84",51.54772,15.0936,"C30","8","U120","8","mineral","POLAND"
"158","16012",4,9,87,63,0,2.2,15.8,38.4,7.1,"WGS84",51.60404,15.042,"C20","8","U120","8","mineral","POLAND"
"159","16013",1,5,93,10.3,2,0.6,17.3,20.8,5.6,"WGS84",51.74865,15.02912,"C20","8","U400","8","mineral","POLAND"
"160","16014",12,12,76,49.8,1,3.6,10.9,34,12.4,"WGS84",51.79992,15.09291,"E20","8","U111","8","mineral","POLAND"
"161","16015",3,11,86,6.9,0,0.8,40,52.1,0,"WGS84",51.74236,15.17356,"E20","8","U400","8","mineral","POLAND"
"162","16016",3,9,88,9,0,1.1,65.9,127.1,5.9,"WGS84",51.79543,14.7724,"B14","8","U111","8","mineral","POLAND"
"163","16017",4,13,83,3.8,0,0.7,48.4,38.1,0,"WGS84",51.52776,16.24807,"E20","8","U112","8","mineral","POLAND"
"164","16018",13,24,63,12.8,0,1.4,37.9,190.9,6.5,"WGS84",51.41415,16.34807,"E10","8","U400","8","mineral","POLAND"
"165","16019",2,15,83,7.1,0,0.6,11.7,23.8,4.7,"WGS84",51.51744,16.10206,"C10","8","U120","8","mineral","POLAND"
"166","16020",2,3,95,8.7,1,0.6,39.5,182.4,0,"WGS84",51.49194,15.89629,"E10","8","U400","8","mineral","POLAND"
"167","16021",5,15,80,49.2,0,1.8,16.6,33.6,4.8,"WGS84",51.59253,15.30124,"C20","8","U120","8","mineral","POLAND"
"168","16022",19,32,49,20,1,1.3,0,96.1,6.8,"WGS84",51.61692,15.15928,"C10","8","U120","8","mineral","POLAND"
"169","16023",8,42,50,10.2,3,1.1,48.6,150.4,8.8,"WGS84",51.73909,15.63791,"B11","8","U111","8","mineral","POLAND"
"170","16024",3,6,91,12,0,1,0,23.7,0,"WGS84",51.93219,16.10005,"C20","8","U120","8","mineral","POLAND"
"171","16025",3,10,87,8.2,1,0.6,46.9,29.5,3.7,"WGS84",51.74719,15.46466,"F00","8","U112","8","mineral","POLAND"
"172","16026",11,28,62,11.6,1,1.2,34.1,158.8,8.7,"WGS84",51.87954,15.7137,"C20","8","U120","8","mineral","POLAND"
"173","16027",7,9,84,24.2,1,2.3,84.1,0,17.7,"WGS84",51.84647,15.65135,"E20","8","U111","8","mineral","POLAND"
"174","16028",2,4,94,23.4,1,1.3,37,41.6,4.1,"WGS84",52.0724,16.17771,"C20","8","U120","8","mineral","POLAND"
"175","16029",4,13,83,15.6,2,1.5,115,524,7.7,"WGS84",52.09333,16.12196,"B23","8","U111","8","mineral","POLAND"
"176","16030",6,11,83,58.4,16,6.1,35.9,45.7,25.6,"WGS84",52.13655,15.98126,"E20","8","U111","8","mineral","POLAND"
"177","16031",11,22,66,17.8,1,1.8,67.8,578.7,14.1,"WGS84",52.28813,17.15021,"B32","8","U111","8","mineral","POLAND"
"178","16032",4,22,74,6.1,2,0.7,38,57.1,3.3,"WGS84",52.02097,16.78519,"B11","8","U111","8","mineral","POLAND"
"179","16033",2,4,94,6.1,1,0.6,32.2,85.8,3.8,"WGS84",51.95717,16.95099,"B14","8","U111","8","mineral","POLAND"
"180","16034",3,10,87,8,1,1.2,39.8,106.2,3.3,"WGS84",52.13985,17.21448,"B13","8","U111","8","mineral","POLAND"
"181","16037",21,37,43,103.4,49,9.3,29.8,81.3,49.3,"WGS84",52.54906,17.31124,"F00","8","U400","8","organic","POLAND"
"182","16038",8,56,36,6.7,0,0.8,76.8,157.6,6.4,"WGS84",51.77562,17.82896,"B21","8","U111","8","mineral","POLAND"
"183","16039",4,9,86,9.2,0,1,75.3,101.2,0,"WGS84",51.6731,17.74863,"B14","8","U111","8","mineral","POLAND"
"184","16040",8,29,63,177.3,0,7.5,24.7,194.6,11.3,"WGS84",51.77299,17.59282,"C10","8","U400","8","organic","POLAND"
"185","16041",4,8,88,11.9,0,1.1,44.9,56.4,3.6,"WGS84",52.43273,17.43987,"B13","8","U111","8","mineral","POLAND"
